#,Job Title,Company,Location,Salary,Posted Date,Source,URL,Status
1,Senior Data Engineer,Transurban,"Tysons, Fairfax County","$108,552 - $108,552",2025-10-15T09:59:28Z,Adzuna,https://www.adzuna.com/details/5448639915?utm_medium=api&utm_source=b57ea8de,Not Applied
2,Senior Data Engineer,MPOWERHealth,"Addison, Dallas","$100,275 - $100,275",2025-10-16T05:44:43Z,Adzuna,https://www.adzuna.com/details/5449966365?utm_medium=api&utm_source=b57ea8de,Not Applied
3,Senior Data Engineer,PeopleTec,"Redstone Arsenal, Madison County","$120,566 - $120,566",2025-10-16T05:23:57Z,Adzuna,https://www.adzuna.com/details/5449937006?utm_medium=api&utm_source=b57ea8de,Not Applied
4,Senior Data Engineer,APPIC Solutions,"Castlewood, Centennial","$110,000 - $130,000",2025-10-15T23:50:01Z,Adzuna,https://www.adzuna.com/details/5449656814?utm_medium=api&utm_source=b57ea8de,Not Applied
5,Senior Data Engineer,R1,US,"$97,211 - $161,880",2025-10-15T10:38:33Z,Adzuna,https://www.adzuna.com/details/5448648226?utm_medium=api&utm_source=b57ea8de,Not Applied
6,Senior Data Engineer,Microsoft,"Redmond, King County","$117,200 - $229,200",2025-10-16T12:17:48Z,Adzuna,https://www.adzuna.com/details/5450579243?utm_medium=api&utm_source=b57ea8de,Not Applied
7,Senior Data Engineer,Centene Management Company,US,"$85,300 - $158,100",2025-10-15T08:36:09Z,Adzuna,https://www.adzuna.com/details/5448576955?utm_medium=api&utm_source=b57ea8de,Not Applied
8,Senior Data Engineer,"Quality Insights,Inc",US,"$92,925 - $116,151",2025-10-15T12:32:10Z,Adzuna,https://www.adzuna.com/details/5448777743?utm_medium=api&utm_source=b57ea8de,Not Applied
9,Senior Data Engineer - Hadoop,PNC Bank,US,"$65,000 - $187,200",2025-10-15T06:43:46Z,Adzuna,https://www.adzuna.com/details/5448249627?utm_medium=api&utm_source=b57ea8de,Not Applied
10,Senior Data Engineer (Snowflake),Fidelity,"Durham, Durham County","$143,755 - $143,755",2025-10-16T10:01:34Z,Adzuna,https://www.adzuna.com/details/5450433331?utm_medium=api&utm_source=b57ea8de,Not Applied
11,Senior Data Engineer (Remote - US),Jobgether,US,"$154,680 - $154,680",2025-10-16T09:14:33Z,Adzuna,https://www.adzuna.com/details/5450398240?utm_medium=api&utm_source=b57ea8de,Not Applied
12,Senior Data Engineer - Capital One Software (Remote),Jobgether,US,"$144,000 - $164,000",2025-10-15T07:44:28Z,Adzuna,https://www.adzuna.com/details/5448271375?utm_medium=api&utm_source=b57ea8de,Not Applied
13,Senior Data Product Engineer,Vistra,"Irving, Dallas","$124,499 - $124,499",2025-10-16T09:55:22Z,Adzuna,https://www.adzuna.com/details/5450431069?utm_medium=api&utm_source=b57ea8de,Not Applied
14,Senior Manager Data Engineering - US,Johnson & Johnson,"Cincinnati, Hamilton County","$138,000 - $238,050",2025-10-16T11:47:12Z,Adzuna,https://www.adzuna.com/details/5450514437?utm_medium=api&utm_source=b57ea8de,Not Applied
15,"Senior Data Architect/Engineer (GCP, SQL, Python)",Jobgether,US,"$158,135 - $158,135",2025-10-15T07:44:23Z,Adzuna,https://www.adzuna.com/details/5448270977?utm_medium=api&utm_source=b57ea8de,Not Applied
16,"Senior Engineer, Data Management (Remote)",Jobgether,US,"$172,054 - $172,054",2025-10-15T07:44:23Z,Adzuna,https://www.adzuna.com/details/5448270974?utm_medium=api&utm_source=b57ea8de,Not Applied
17,"Data Engineer, Senior",Booz Allen Hamilton,"Chantilly, Fairfax County","$77,600 - $176,000",2025-10-15T09:38:29Z,Adzuna,https://www.adzuna.com/details/5448632966?utm_medium=api&utm_source=b57ea8de,Not Applied
18,"Senior Technology Manager, Data Engineering",CarMax,"Richmond, Richmond County","$118,219 - $118,219",2025-10-16T08:08:48Z,Adzuna,https://www.adzuna.com/details/5450080876?utm_medium=api&utm_source=b57ea8de,Not Applied
19,"Senior Software Engineer, Data Infrastructure for Robotics Research",NVIDIA,"California, US",Not specified,2025-10-16T08:21:43Z,Adzuna,https://www.adzuna.com/details/5450092492?utm_medium=api&utm_source=b57ea8de,Not Applied
20,"Senior Software Engineer, Data Ingestion and Movement - DGX Cloud",NVIDIA,"California, US",Not specified,2025-10-16T08:13:06Z,Adzuna,https://www.adzuna.com/details/5450083378?utm_medium=api&utm_source=b57ea8de,Not Applied
21,Data Scientist,Booz Allen Hamilton,"Arlington, Arlington County","$99,000 - $225,000",2025-10-15T08:22:11Z,Adzuna,https://www.adzuna.com/details/5448317351?utm_medium=api&utm_source=b57ea8de,Not Applied
22,Data Scientist,Jerry.ai,"Palo Alto, Santa Clara County","$100,000 - $130,000",2025-10-16T13:25:42Z,Adzuna,https://www.adzuna.com/details/5450629675?utm_medium=api&utm_source=b57ea8de,Not Applied
23,Data Scientist,Divisions Maintenance Group,"Cincinnati, Hamilton County","$110,635 - $110,635",2025-10-16T09:36:11Z,Adzuna,https://www.adzuna.com/details/5450416298?utm_medium=api&utm_source=b57ea8de,Not Applied
24,Data Scientist,CoinFlip,"Chicago, Cook County","$91,633 - $108,480",2025-10-16T06:32:19Z,Adzuna,https://www.adzuna.com/details/5450006531?utm_medium=api&utm_source=b57ea8de,Not Applied
25,Data Scientist,Insulet Corporation,US,"$96,600 - $144,900",2025-10-15T12:37:11Z,Adzuna,https://www.adzuna.com/details/5448779608?utm_medium=api&utm_source=b57ea8de,Not Applied
26,Data Scientist,Absolute Business Solutions Corp,"Herndon, Fairfax County","$75,000 - $150,000",2025-10-16T09:44:56Z,Adzuna,https://www.adzuna.com/details/5450423427?utm_medium=api&utm_source=b57ea8de,Not Applied
27,Data Scientist,Guidehouse,"Arlington, Arlington County","$138,402 - $138,402",2025-10-15T08:50:34Z,Adzuna,https://www.adzuna.com/details/5448598792?utm_medium=api&utm_source=b57ea8de,Not Applied
28,Data Scientist,Berkeley Lab,US,"$156,864 - $191,724",2025-10-16T08:46:10Z,Adzuna,https://www.adzuna.com/details/5450366608?utm_medium=api&utm_source=b57ea8de,Not Applied
29,Data Scientist,Ford Motor,"Dearborn, Wayne County","$107,848 - $182,338",2025-10-16T10:15:15Z,Adzuna,https://www.adzuna.com/details/5450437281?utm_medium=api&utm_source=b57ea8de,Not Applied
30,Data Scientist (REMOTE),Jobgether,US,"$93,368 - $93,368",2025-10-15T07:44:24Z,Adzuna,https://www.adzuna.com/details/5448271033?utm_medium=api&utm_source=b57ea8de,Not Applied
31,Senior Data Scientist,PepsiCo,"Plano, Collin County","$180,221 - $180,221",2025-10-15T16:23:30Z,Adzuna,https://www.adzuna.com/details/5449006811?utm_medium=api&utm_source=b57ea8de,Not Applied
32,Lead Data Scientist,Marketing Architects,US,"$160,000 - $190,000",2025-10-16T08:32:35Z,Adzuna,https://www.adzuna.com/land/ad/5450218247?se=fjFcdMmq8BGHpsjEWSYllA&utm_medium=api&utm_source=b57ea8de&v=BFF4F5E7900EEA4C01519C12B4FD58A3F0ACE9C3,Not Applied
33,Senior Data Scientist,Mochi Health,"San Francisco, California","$250,000 - $300,000",2025-10-16T12:10:53Z,Adzuna,https://www.adzuna.com/land/ad/5450574668?se=fjFcdMmq8BGHpsjEWSYllA&utm_medium=api&utm_source=b57ea8de&v=8E6237448B29B7884A5FF57237295E0EF3E9318E,Not Applied
34,Principal Data Scientist,DELL,"Round Rock, Williamson County","$167,182 - $167,182",2025-10-15T19:27:39Z,Adzuna,https://www.adzuna.com/details/5449176076?utm_medium=api&utm_source=b57ea8de,Not Applied
35,Data Scientist II,Wolters Kluwer,"Riverwoods, Lake County","$91,600 - $126,800",2025-10-15T09:57:26Z,Adzuna,https://www.adzuna.com/details/5448638852?utm_medium=api&utm_source=b57ea8de,Not Applied
36,Senior Data Scientist,APPIC Solutions,"Castlewood, Centennial","$110,000 - $130,000",2025-10-15T23:50:01Z,Adzuna,https://www.adzuna.com/details/5449656824?utm_medium=api&utm_source=b57ea8de,Not Applied
37,Principal Data Scientist,Dell,"Round Rock, Williamson County","$192,000 - $248,000",2025-10-16T08:14:34Z,Adzuna,https://www.adzuna.com/details/5450084945?utm_medium=api&utm_source=b57ea8de,Not Applied
38,"Data Scientist, Mid",Booz Allen Hamilton,"Mc Lean, Fairfax County","$77,600 - $176,000",2025-10-16T09:33:56Z,Adzuna,https://www.adzuna.com/details/5450415448?utm_medium=api&utm_source=b57ea8de,Not Applied
39,"Senior, Data Scientist",Walmart,"Sunnyvale, Santa Clara County","$90,000 - $180,000",2025-10-16T12:47:23Z,Adzuna,https://www.adzuna.com/details/5450599049?utm_medium=api&utm_source=b57ea8de,Not Applied
40,Data Scientist - Specialist,Equifax,"Atlanta, Fulton County","$124,467 - $124,467",2025-10-15T11:30:21Z,Adzuna,https://www.adzuna.com/details/5448723990?utm_medium=api&utm_source=b57ea8de,Not Applied
